"headlines.headline","sentiment","anger","fear","joy","sadness","gptsentiment","gptanger","gptjoy","gptsadness","gptfear"
"How Are US Companies Avoiding Billions in Taxes?",3.125,2.7,2.4,1.3,2.4,2,4,2,1,4
"In Any Other Context These Would Be Sexy Dance Moves. But For These 2 Minutes, It's About Health.",4.375,1.6,1.7,2,1.9,6,1,6,1,1
"They Call This 'Right To Work' But It's More Like 'Right To Shirk.' (See What I Did There?!)",3,3.4,2.9,1.8,2.7,2,5,4,1,2
"Is Bill Nye A Fun-Loving Sagittarius, Or A Sexy Scorpio?",4.375,2.5,2.1,2.7,1.8,4,1,5,1,1
"The One Where The Government Decides To Cook Your Books For You",3.375,2.9,2.4,1.6,2.9,1,4,1,1,4
"A woman perfectly answers the question, ""What's the difference between men and women?""",4.125,2,2,2.2,2.5,7,1,5,1,1
"A Few People Explain Why Celibacy Is Not As Weird And Unnatural As Some Think",4.625,1.4,1.8,1.7,2.1,6,1,4,1,1
"A Detailed Description Of What It's Like To Compulsively Pull Out Your Own Hair",3.625,2.4,2,1.5,2.7,3,1,2,2,2
"When They Left, Her Parents Thought She'd Grow Up Without Fear. They Were Wrong.",2.75,3.2,3.7,1.4,4.5,2,4,2,6,6
"Is An Hour Of Your Time Worth Two #6’s At McDonald’s?",3.25,2.8,1.8,1.5,2.5,4,2,4,1,1
"This Probably Will Make You Say ""I Could Go For A New Paula Abdul Album""",4.125,1.5,1.4,2.5,1.44444444444444,6,1,5,1,1
"This Dude Is Pissed.  And Unfortunately, We Can All Recognize The Reason Why.",2.75,3.8,2.5,1.1,3,2,6,2,2,2
"Why Democracy Loves Social Media",4.125,2.6,1.9,1.8,2.1,6,1,5,1,1
"A political party in the U.K. tried to appeal to women by driving a pink bus around. Whoops!",2.75,3.6,1.6,2.3,3.2,3,2,3,1,1
"On International Women's Day, these three women have something to say about gender equality.",5,2.5,2.1,2.6,2.1,7,1,6,1,1
"A Teen Came Out To His Mom. I Don't Think He Saw Her Response Coming.",3.625,2.1,2.7,1.9,3.1,5,2,6,5,5
"Here's Why Helping Others Feels So Much Better Than Being Selfish",5.375,2.1,1.6,4.5,1.9,7,1,6,1,1
"They're about 1% the size of a human, but we need them for 33% of what we eat.",4.625,1.8,2.1,2.3,1.8,6,1,5,1,1
"This Boys Parents Didn't Know He'd Commit A Crime As A Child — So What Are They To Do Now?",2.875,3.2,4.1,1.3,4.8,2,2,2,4,4
